,Zipcode,Age group,Estimate
721,61735,Under 5 years,15.0
722,61736,Under 5 years,123.0
723,61737,Under 5 years,21.0
724,61738,Under 5 years,296.0
725,61739,Under 5 years,390.0
726,61740,Under 5 years,40.0
727,61741,Under 5 years,142.0
728,61742,Under 5 years,63.0
729,61743,Under 5 years,2.0
730,61744,Under 5 years,146.0
731,61745,Under 5 years,239.0
732,61747,Under 5 years,107.0
733,61748,Under 5 years,140.0
734,61749,Under 5 years,13.0
735,61750,Under 5 years,50.0
736,61751,Under 5 years,0.0
737,61752,Under 5 years,182.0
738,61753,Under 5 years,248.0
739,61754,Under 5 years,80.0
740,61755,Under 5 years,289.0
741,61756,Under 5 years,171.0
742,61759,Under 5 years,80.0
743,61760,Under 5 years,127.0
744,61761,Under 5 years,2409.0
745,61764,Under 5 years,669.0
746,61769,Under 5 years,46.0
747,61770,Under 5 years,58.0
748,61771,Under 5 years,51.0
749,61772,Under 5 years,0.0
750,61773,Under 5 years,24.0
751,61774,Under 5 years,108.0
752,61775,Under 5 years,2.0
753,61776,Under 5 years,29.0
754,61777,Under 5 years,52.0
755,61778,Under 5 years,26.0
756,61801,Under 5 years,1081.0
757,61802,Under 5 years,1174.0
758,61810,Under 5 years,12.0
759,61811,Under 5 years,28.0
760,61812,Under 5 years,21.0
761,61813,Under 5 years,65.0
762,61814,Under 5 years,113.0
763,61815,Under 5 years,2.0
764,61816,Under 5 years,15.0
765,61817,Under 5 years,140.0
766,61818,Under 5 years,89.0
767,61820,Under 5 years,1220.0
768,61821,Under 5 years,2112.0
769,61822,Under 5 years,1867.0
770,61830,Under 5 years,36.0
771,61831,Under 5 years,11.0
772,61832,Under 5 years,2608.0
773,61833,Under 5 years,96.0
774,61834,Under 5 years,257.0
775,61839,Under 5 years,65.0
776,61840,Under 5 years,9.0
777,61841,Under 5 years,43.0
778,61842,Under 5 years,149.0
779,61843,Under 5 years,179.0
780,61844,Under 5 years,5.0
781,61845,Under 5 years,15.0
782,61846,Under 5 years,261.0
783,61847,Under 5 years,68.0
784,61848,Under 5 years,14.0
785,61849,Under 5 years,116.0
786,61850,Under 5 years,36.0
787,61851,Under 5 years,18.0
788,61852,Under 5 years,20.0
789,61853,Under 5 years,979.0
790,61854,Under 5 years,86.0
791,61855,Under 5 years,0.0
792,61856,Under 5 years,539.0
793,61857,Under 5 years,8.0
794,61858,Under 5 years,272.0
795,61859,Under 5 years,67.0
796,61862,Under 5 years,23.0
797,61863,Under 5 years,37.0
798,61864,Under 5 years,80.0
799,61865,Under 5 years,103.0
800,61866,Under 5 years,1054.0
801,61870,Under 5 years,62.0
802,61871,Under 5 years,18.0
803,61872,Under 5 years,21.0
804,61873,Under 5 years,432.0
805,61874,Under 5 years,551.0
806,61875,Under 5 years,28.0
807,61876,Under 5 years,62.0
808,61877,Under 5 years,98.0
809,61878,Under 5 years,65.0
810,61880,Under 5 years,182.0
811,61882,Under 5 years,22.0
812,61883,Under 5 years,273.0
813,61884,Under 5 years,23.0
814,61910,Under 5 years,311.0
815,61911,Under 5 years,435.0
816,61912,Under 5 years,67.0
817,61913,Under 5 years,108.0
818,61914,Under 5 years,85.0
819,61917,Under 5 years,32.0
820,61919,Under 5 years,59.0
821,61920,Under 5 years,862.0
822,61924,Under 5 years,172.0
823,61925,Under 5 years,33.0
824,61928,Under 5 years,32.0
825,61929,Under 5 years,22.0
826,61930,Under 5 years,45.0
827,61931,Under 5 years,74.0
828,61932,Under 5 years,48.0
829,61933,Under 5 years,39.0
830,61936,Under 5 years,21.0
831,61937,Under 5 years,117.0
832,61938,Under 5 years,1117.0
833,61940,Under 5 years,5.0
834,61941,Under 5 years,0.0
835,61942,Under 5 years,45.0
836,61943,Under 5 years,89.0
